,T,A,G,E,Date,Time,Substrate,E_pump,n,PLQY
0,280,80,100,550,2022-Oct-26,17:46:29,Silicon,9.109937500000003e-09,9.920984357703512e+16,1.6207089069779384e-15
0,80,1,5,1660,2022-Oct-26,14:05:56,Silicon,1.311433264e-07,1.4281886015481505e+18,9.954393328103901e-14
0,200,100,100,200,2022-Oct-26,15:26:41,Silicon,1.2240000000000001e-09,1.3329712584558448e+16,6.798445453109991e-15
0,280,1,100,1400,2022-Oct-26,17:31:47,Silicon,8.882399999999998e-08,9.673189465774668e+17,8.24773023845147e-15
0,120,2,100,672,2022-Oct-26,12:22:53,Silicon,1.4783968829440002e-08,1.6100167921201488e+17,1.4925154823670173e-14
0,120,20,100,400,2022-Oct-26,12:26:51,Silicon,4.384000000000001e-09,4.774302285188256e+16,9.795868703628305e-15
0,120,50,100,170,2022-Oct-26,12:28:17,Silicon,9.893679000000002e-10,1.0774501427604712e+16,1.0005121532010047e-14
0,240,1,25,2000,2022-Oct-26,16:18:49,Silicon,1.944e-07,2.1170719987239887e+18,2.435845910436668e-14
0,280,20,100,720,2022-Oct-26,17:28:16,Silicon,1.7509734399999997e-08,1.9068605145748035e+17,3.5867466419008976e-15
0,280,100,100,400,2022-Oct-26,17:48:10,Silicon,4.384000000000001e-09,4.774302285188256e+16,1.8667852928108792e-15
0,280,3,100,1000,2022-Oct-26,17:30:02,Silicon,3.94e-08,4.290773495356233e+17,8.881986690952227e-15
0,280,10,100,800,2022-Oct-26,17:44:04,Silicon,2.2704000000000006e-08,2.4725310009788816e+17,3.775822529667998e-15
0,200,1,15,2000,2022-Oct-26,15:16:48,Silicon,1.944e-07,2.1170719987239887e+18,3.157459487654532e-14
0,280,1,80,1600,2022-Oct-26,17:38:07,Silicon,1.2078400000000003e-07,1.3153725529520492e+18,9.532683914028994e-15
0,80,5,100,412,2022-Oct-26,14:20:40,Silicon,4.679202864639999e-09,5.095786708373672e+16,3.1739679005414236e-14
0,160,6,100,520,2022-Oct-26,14:51:11,Silicon,7.976358400000002e-09,8.686484064005597e+16,1.5489006639657837e-14
0,80,1,30,864,2022-Oct-26,14:10:30,Silicon,2.7462306979839997e-08,2.990724337828272e+17,5.36706416159752e-14
0,80,5,100,424,2022-Oct-26,11:37:58,Silicon,4.98801485824e-09,5.432091865020119e+16,1.718770993248518e-14
0,160,1,15,1500,2022-Oct-26,14:44:16,Silicon,1.0427500000000003e-07,1.1355847873813993e+18,4.765389478932965e-14
0,200,10,100,550,2022-Oct-26,15:23:48,Silicon,9.109937500000003e-09,9.920984357703512e+16,9.49712452117713e-15
0,120,1,6,1520,2022-Oct-26,12:07:37,Silicon,1.0749603840000002e-07,1.1706628234074007e+18,7.899383987271162e-14
0,160,50,100,200,2022-Oct-26,14:55:27,Silicon,1.2240000000000001e-09,1.3329712584558448e+16,1.0278621211251364e-14
0,280,100,100,300,2022-Oct-26,17:24:40,Silicon,2.4189999999999996e-09,2.6343606815397784e+16,2.7557108255019173e-15
0,200,1,30,1400,2022-Oct-26,15:13:54,Silicon,8.882399999999998e-08,9.673189465774668e+17,2.6598804111826378e-14
